task_id	galaxy_input	galaxy_slug	redshift
1	antlia2	antlia_2	0.0
2	bootes1	bootes_1	0.0
3	canesvenatici1	canes_venatici_i	0.0
4	canesvenatici2	canes_venatici_ii	0.0
5	comaberenices	coma_berenices	0.0
6	crater2	crater_2	0.0
7	draco2	draco_2	0.0
8	eridanus2	eridanus_ii	0.0
9	grus1	grus_1	0.0
10	grus2	grus_2	0.0
11	hercules	hercules	0.0
12	horologium1	horologium_i	0.0
13	hydra2	hydra_ii	0.0
14	leo4	leo_4	0.0
15	leo5	leo_5	0.0
16	leot	leo_t	0.0
17	pisces2	pisces_ii	0.0
18	reticulum2	reticulum_2	0.0
19	segue1	segue_1	0.0
20	segue2	segue_2	0.0
21	triangulum2	triangulum_ii	0.0
22	tucana2	tucana_2	0.0
23	tucana3	tucana_3	0.0
24	tucana4	tucana_4	0.0
25	ursamajor1	ursa_major_i	0.0
26	ursamajor2	ursa_major_ii	0.0
27	willman1	willman_1	0.0
