galaxy,table1_ref_ids,vizier_sources_available,vizier_sources_pending
Antlia 2,1;9,J/MNRAS/488/2743|J/ApJ/921/32,
Bootes I,2;3;4,J/ApJ/920/92,J/ApJ/860/66:not_found|J/ApJ/653/L109:not_found
Canes Venatici I,2;5;6,J/ApJ/779/102|J/ApJ/674/L81,J/ApJ/860/66:not_found
Canes Venatici II,2;5;7,J/ApJ/779/102,J/ApJ/860/66:not_found|J/ApJ/675/L73:not_found
Coma Berenices,2;5;8,J/ApJ/779/102,J/ApJ/860/66:not_found|J/ApJ/654/897:not_found
Crater 2,9;10,J/ApJ/921/32,J/MNRAS/459/2370:not_found
Draco 2,11;12,,J/ApJ/813/44:not_found|J/MNRAS/480/2609:not_found
Eridanus II,2;13;14,,J/ApJ/860/66:not_found|J/A+A/651/A80:request_error|J/ApJ/838/8:not_found
Grus 1,2;15,,J/ApJ/860/66:not_found|J/ApJ/939/41:not_found
Grus 2,16;17;18,J/ApJ/892/137,J/ApJ/813/109:not_found|J/MNRAS/490/2183:not_found
Hercules,2;5;19,J/ApJ/779/102,J/ApJ/860/66:not_found|J/ApJ/684/1075:not_found
Horologium I,2;20,,J/ApJ/860/66:not_found|J/ApJ/811/62:not_found
Hydra II,2;21;22,,J/ApJ/860/66:not_found|J/ApJ/810/56:not_found|J/ApJ/804/L5:not_found
Leo IV,2;3;23,J/ApJ/920/92|J/ApJ/710/1664,J/ApJ/860/66:not_found
Leo V,2;3;23,J/ApJ/920/92|J/ApJ/710/1664,J/ApJ/860/66:not_found
Leo T,2;5;24,J/ApJ/779/102,J/ApJ/860/66:not_found|J/ApJ/680/1112:not_found
Pisces II,2;21;25,,J/ApJ/860/66:not_found|J/ApJ/810/56:not_found|J/ApJ/712/L103:not_found
Reticulum II,2;20;26,,J/ApJ/860/66:not_found|J/ApJ/811/62:not_found|J/ApJ/805/130:not_found
Segue 1,2;19;27,J/ApJ/733/46,J/ApJ/860/66:not_found|J/ApJ/684/1075:not_found
Segue 2,2;28;29,J/MNRAS/397/1748|J/ApJ/770/16,J/ApJ/860/66:not_found
Triangulum II,2;30;31,J/ApJ/838/83,J/ApJ/860/66:not_found|J/ApJ/802/L18:not_found
Tucana 2,26;35,J/AJ/165/55,J/ApJ/805/130:not_found
Tucana 3,16;32,J/ApJ/838/11,J/ApJ/813/109:not_found
Tucana 4,16;18,J/ApJ/892/137,J/ApJ/813/109:not_found
Ursa Major I,2;5;33,J/ApJ/779/102,J/ApJ/860/66:not_found|J/ApJ/670/313:not_found
Ursa Major II,2;5;33,J/ApJ/779/102,J/ApJ/860/66:not_found|J/ApJ/670/313:not_found
Willman 1,2;34,,J/ApJ/860/66:not_found|J/AJ/142/128:not_found

# COLUMN_NOTES_BEGIN
# 说明：以下注释行解释本 CSV 中每一列的含义；程序读取时建议使用 pd.read_csv(path, comment="#")。
# galaxy: 目标星系名称。
# table1_ref_ids: Hayashi Table 1 中列出的参考文献编号，分号分隔。
# vizier_sources_available: 该星系已定位到的 VizieR 数据源。
# vizier_sources_pending: 该星系仍待定位或不可用的 VizieR 数据源。
# COLUMN_NOTES_END
