galaxy,sample_type,n_sample,log10_LV,log10_LV_err_down,log10_LV_err_up,De_kpc,De_kpc_err_down,De_kpc_err_up,b_star_pc,b_star_pc_err_down,b_star_pc_err_up,qprime,qprime_err_down,qprime_err_up,feh_dex,feh_err_down,feh_err_up,table1_ref_ids
Antlia 2,diffuse,283,5.88,0.10,0.10,129,7,7,2867,312,312,0.62,0.08,0.08,-1.77,0.08,0.08,"1;9"
Bootes I,UFD,66,4.33,0.10,0.10,66,2,2,191,8,8,0.70,0.03,0.03,-2.34,0.05,0.05,"2;3;4"
Canes Venatici I,UFD,214,5.45,0.02,0.02,218,2,2,452,13,13,0.61,0.03,0.03,-1.91,0.01,0.01,"2;5;6"
Canes Venatici II,UFD,25,4.00,0.13,0.13,160,2,2,71,11,11,0.60,0.13,0.13,-2.12,0.05,0.05,"2;5;7"
Coma Berenices,UFD,59,3.68,0.10,0.10,44,2,2,72,4,4,0.62,0.05,0.05,-2.25,0.05,0.05,"2;5;8"
Crater 2,diffuse,141,5.21,0.10,0.10,118,1,1,1066,84,84,0.88,0.02,0.02,-2.10,0.08,0.08,"9;10"
Draco 2,UFD,9,3.10,0.40,0.40,20,3,3,19,6,8,0.76,0.25,0.25,-2.70,0.10,0.10,"11;12"
Eridanus II,UFD,92,4.82,0.04,0.04,380,2,2,196,19,19,0.65,0.06,0.06,-2.38,0.13,0.13,"2;13;14"
Grus 1,UFD,8,3.32,0.24,0.24,120,11,11,28,23,23,0.55,0.30,0.30,-2.62,0.10,0.10,"2;15"
Grus 2,UFD,19,3.33,0.04,0.04,55,2,2,94,9,9,1.00,0.21,0.00,-2.51,0.11,0.11,"16;17;18"
Hercules,UFD,18,4.27,0.07,0.07,132,12,12,216,17,17,0.31,0.03,0.03,-2.39,0.04,0.04,"2;5;19"
Horologium I,UFD,5,3.35,0.22,0.22,79,2,2,37,7,7,0.73,0.13,0.13,-2.76,0.10,0.10,"2;20"
Hydra II,UFD,13,3.77,0.15,0.15,134,10,10,59,11,11,0.76,0.16,0.16,-2.02,0.08,0.08,"2;21;22"
Leo IV,UFD,18,3.93,0.10,0.10,154,5,5,114,13,13,0.83,0.09,0.09,-2.47,0.14,0.14,"2;3;23"
Leo V,UFD,7,3.69,0.14,0.14,169,4,4,49,16,16,0.57,0.22,0.22,-2.28,0.16,0.16,"2;3;23"
Leo T,UFD,19,4.97,0.06,0.06,417,19,19,153,16,16,0.77,0.09,0.09,-1.74,0.04,0.04,"2;5;24"
Pisces II,UFD,7,3.62,0.15,0.15,182,2,2,59,9,9,0.66,0.10,0.10,-2.45,0.07,0.07,"2;21;25"
Reticulum II,UFD,25,3.48,0.15,0.15,32,2,2,48,2,2,0.42,0.02,0.02,-2.46,0.10,0.10,"2;20;26"
Segue 1,UFD,71,2.45,0.29,0.29,23,2,2,24,3,3,0.67,0.10,0.10,-2.71,0.39,0.45,"2;19;27"
Segue 2,UFD,26,2.77,0.35,0.35,35,2,2,38,3,3,0.78,0.07,0.07,-2.22,0.13,0.13,"2;28;29"
Triangulum II,UFD,13,2.65,0.20,0.20,30,2,2,17,4,4,0.54,0.16,0.16,-2.24,0.05,0.05,"2;30;31"
Tucana 2,UFD,19,3.45,0.63,0.63,57,5,5,165,19,28,0.61,0.15,0.15,-2.23,0.12,0.18,"26;35"
Tucana 3,UFD,26,2.70,0.10,0.10,25,2,2,44,6,6,0.80,0.10,0.10,-2.42,0.08,0.08,"16;32"
Tucana 4,UFD,11,3.14,0.07,0.07,48,4,4,127,24,24,0.40,0.10,0.10,-2.49,0.16,0.16,"16;18"
Ursa Major I,UFD,39,3.98,0.15,0.15,97,4,4,234,10,10,0.41,0.03,0.03,-2.10,0.03,0.03,"2;5;33"
Ursa Major II,UFD,20,3.63,0.10,0.10,32,4,4,128,5,5,0.44,0.03,0.03,-2.18,0.03,0.03,"2;5;33"
Willman 1,UFD,40,2.94,0.30,0.30,38,7,7,28,2,2,0.53,0.06,0.06,-2.19,0.08,0.08,"2;34"

# COLUMN_NOTES_BEGIN
# 说明：以下注释行解释本 CSV 中每一列的含义；程序读取时建议使用 pd.read_csv(path, comment="#")。
# galaxy: 目标星系名称。
# sample_type: Hayashi et al. 2023 中的样本类型，例如 UFD 或 diffuse。
# n_sample: Hayashi et al. 2023 Table 1 给出的成员星数量。
# log10_LV: 星系 V 波段光度的十进制对数，单位为太阳光度。
# log10_LV_err_down: log10_LV 的下误差。
# log10_LV_err_up: log10_LV 的上误差。
# De_kpc: 日心距离，单位 kpc。
# De_kpc_err_down: 日心距离的下误差，单位 kpc。
# De_kpc_err_up: 日心距离的上误差，单位 kpc。
# b_star_pc: 恒星 Plummer 标尺半径或等效结构尺度，单位 pc，来自 Hayashi Table 1。
# b_star_pc_err_down: b_star_pc 的下误差，单位 pc。
# b_star_pc_err_up: b_star_pc 的上误差，单位 pc。
# qprime: 投影轴比 q prime，来自 Hayashi Table 1。
# qprime_err_down: 投影轴比的下误差。
# qprime_err_up: 投影轴比的上误差。
# feh_dex: 平均金属丰度 [Fe/H]，单位 dex。
# feh_err_down: [Fe/H] 的下误差，单位 dex。
# feh_err_up: [Fe/H] 的上误差，单位 dex。
# table1_ref_ids: Hayashi Table 1 中列出的参考文献编号，分号分隔。
# COLUMN_NOTES_END
